day_of_month,weekday,month,year,hour_of_day,minute_of_hour,author,body
22,Tuesday,December,2020,8,44,Bette Porter,""" In the case of"
8,Wednesday,December,2021,5,46,Carol,<Media omitted>
15,Tuesday,September,2020,17,48,Bette Porter,"It doesn't really matter either way, at least it seems"
23,Saturday,March,2019,1,11,Therese,<Media omitted>
2,Monday,November,2020,7,8,Therese,<Media omitted>
28,Monday,September,2020,15,43,Carol,"If they are in the same state as you are, in the same school, there's no need to worry about this: In other words, don't let this place be your secret stash of sexual energy"
25,Sunday,August,2019,2,16,Therese,And don't even bother to ask questions—it's probably a good idea to let someone who is familiar with the situation know exactly what you're doing
22,Monday,April,2019,18,17,Therese,"On a lighter note, there are two things worth mentioning here that we're getting more and more excited for"
3,Saturday,October,2020,19,8,Therese,"One: If anyone out there just can't figure out how and why these guys have a thing for this kind of sex, then they might get their first ""girlie"" on the scene"
5,Saturday,September,2020,13,30,Arizona,"If they have any sex skills and I'm not too concerned about that, that's great fun"
25,Friday,September,2020,13,52,Therese,"But if that's not going to get you with the kind of passionate and passionate you're expecting, how about this? You won't be able to stop or touch anything with your vibrator unless you masturbate right now in front of me, so maybe it's a good idea to try the"
7,Friday,August,2020,12,47,Bette Porter,"You’re welcome to [come], at least there’s some pretty country around where I live"
13,Friday,March,2020,17,33,Carol,"Because I love my country, and I love the idea of Canada"
23,Thursday,December,2021,16,47,Waverly,"Can you imagine?

So I have a lot of friends that come to my shows"
10,Friday,September,2021,5,33,Therese,"They come with that country, so I have friends in my community, who are coming here to see me"
11,Wednesday,March,2020,21,10,Carol,There are a lot of these types of people that come
22,Monday,March,2021,0,16,Bette Porter,"If they see me on stage, they know me"
30,Sunday,June,2019,5,51,Bette Porter,<Media omitted>
18,Saturday,July,2020,7,24,Bette Porter,"So I'm trying to make sure something as big as this show, like a national hit, is shown"
22,Wednesday,April,2020,18,34,Bette Porter,[I am] the one that's going to get this song out there
26,Friday,June,2020,8,20,Therese,"That's because of the band's music, which is more of a hip-hop style and more of a rap style, but more of a stand-up and just going ""that's gonna get me anywhere"
28,Wednesday,April,2021,12,34,Therese,<Media omitted>
16,Tuesday,July,2019,21,7,Waverly,<Media omitted>
15,Saturday,June,2019,20,1,Arizona,Because my team just came right out here
4,Wednesday,September,2019,23,46,Carol,So I'll make it happen and show them it
26,Tuesday,January,2021,17,50,Bette Porter,<Media omitted>
18,Monday,March,2019,4,20,Arizona,"You’re welcome to [come], at least there’s some pretty country around where I live"
14,Monday,October,2019,22,11,Carol,"If you’d like to come and go on some of the trails, you don't have to"
29,Saturday,February,2020,1,34,Bette Porter,You could go to [some places] and go up and down the mountain and not feel any sort of concern
15,Monday,April,2019,12,54,Therese,[to find you if it's not there
14,Wednesday,April,2021,7,58,Arizona,"] Yeah if you're here, don't take your chances too far out"
17,Saturday,October,2020,20,57,Carol,It's all good if you're here
18,Monday,May,2020,23,13,Therese,<Media omitted>
7,Tuesday,May,2019,20,4,Waverly,I'm going to try to get you to do the right thing right away
1,Monday,November,2021,21,55,Carol,"[I feel like talking to myself, at least, with that guy] Okay"
8,Tuesday,December,2020,11,52,Bette Porter,<Media omitted>
9,Wednesday,October,2019,17,8,Therese,You should have been playing it the previous night by yourself
20,Sunday,June,2021,7,50,Carol,"Did you know you were coming off as a normal American boy? If so, that's the kind of guy in your life that is in your head right now trying to stop you"
1,Saturday,May,2021,11,7,Carol,"[I don't care how much you put in, though, you're gonna have me down to tell you] I just feel like like I don't really have the same kind of life as some of my friends"
6,Sunday,June,2021,19,22,Waverly,You know I'm only getting really sick at home
26,Friday,April,2019,22,42,Carol,I’m going away for awhile
4,Friday,September,2020,21,11,Arizona,Wherever my car will take me
4,Sunday,July,2021,15,20,Carol,West
10,Wednesday,July,2019,9,34,Therese,Soon
4,Tuesday,May,2021,19,25,Arizona,"And I thought, perhaps, you might like to come with me"
1,Thursday,July,2021,12,49,Carol,Would you? I don't know
7,Friday,June,2019,7,35,Waverly,That's so cold
1,Tuesday,June,2021,3,58,Waverly,Don't go yet—that'll save you
14,Sunday,November,2021,20,39,Carol,"Don't worry, I'll have a chance, too"
18,Thursday,April,2019,0,27,Waverly,I am the King of Heaven
2,Thursday,January,2020,15,2,Waverly,He speaks
27,Sunday,December,2020,21,30,Bette Porter,"King of the gods,

He sees the people, and knows where his majesty falls"
3,Saturday,August,2019,12,38,Arizona,"The man, after all,

Shatters into the maws"
5,Friday,February,2021,12,40,Therese,<Media omitted>
10,Wednesday,November,2021,10,12,Bette Porter,—with me
19,Sunday,January,2020,7,15,Carol,"I will be that man,

that man,

for God the Father, and

for all eternity"
17,Friday,December,2021,21,32,Carol,<Media omitted>
30,Wednesday,January,2019,19,58,Arizona,")

I will lead you"
16,Tuesday,July,2019,3,13,Arizona,<Media omitted>
20,Friday,August,2021,19,30,Therese,That's all
17,Friday,May,2019,10,16,Arizona,"Oh, my lord, that's what I say"
1,Friday,May,2020,12,0,Therese,<Media omitted>
20,Tuesday,August,2019,6,15,Therese,"And this comes in his wake, he tells me"
11,Saturday,September,2021,2,18,Bette Porter,Where is he? I am the king
14,Sunday,June,2020,0,25,Arizona,"I will lead him out of these trees, and"
7,Sunday,November,2021,8,22,Carol,"Anyway, the apartment’s a nice big one"
8,Sunday,December,2019,16,32,Carol,Big enough for two
17,Thursday,December,2020,19,49,Therese,<Media omitted>
11,Monday,May,2020,16,38,Arizona,Would you? No way
29,Monday,November,2021,7,12,Carol,I can't see you getting here from a balcony or something
1,Tuesday,October,2019,17,42,Therese,What’d are you saying? Why don't you go down to a room’ and see what you can get yourselves for a living
17,Thursday,October,2019,20,6,Waverly,"It is a nice, quiet room"
28,Wednesday,July,2021,19,26,Waverly,I want to sleep here
19,Tuesday,January,2021,14,30,Waverly,<Media omitted>
19,Thursday,August,2021,11,44,Carol,If I have to go to work on getting people to rent a room and to pay someone to give a ride you got me
22,Tuesday,October,2019,19,39,Carol,"I love you, I hope you just stay this way"
24,Sunday,March,2019,0,38,Therese,"Well then, if you just want me to have a drink I'm not too bad"
14,Monday,June,2021,8,4,Therese,I have no food to go around tonight and I will get you something for your last bit of time
14,Monday,October,2019,8,10,Arizona,It is not going to come cheap
1,Monday,June,2020,2,32,Waverly,"My boyfriend has been waiting for me all day, which means that it is getting late so we are sitting outside"
23,Tuesday,February,2021,11,36,Carol,I think we could be there for two or three hours
29,Sunday,November,2020,18,55,Carol,So you can sit right in there
22,Monday,June,2020,23,19,Therese,"I know you're scared of the cold, so I must be taking you down"
15,Monday,March,2021,18,33,Bette Porter,You are still very comfortable with me
18,Tuesday,August,2020,2,12,Bette Porter,<Media omitted>
20,Monday,December,2021,16,0,Waverly,<Media omitted>
9,Sunday,February,2020,4,23,Carol,<Media omitted>
26,Saturday,October,2019,3,33,Arizona,Big enough for two
28,Tuesday,April,2020,4,50,Therese,I was hoping you might like to come live with me but I guess you won’t
17,Monday,May,2021,9,28,Bette Porter,Would you? Would you like to come with me? It was a really big room you guys had here for many years! Just in case it is too quiet but I think it deserves a room at least 10
27,Thursday,August,2020,17,6,Bette Porter,<Media omitted>
14,Saturday,November,2020,1,26,Carol,I thought I would make you a massage with this woman but I guess there are too many ways to do it but you could stay as long as you want with me
28,Tuesday,April,2020,20,9,Therese,"Do you mind? Now get into bed or leave?

The moment I put my mouth around your cock (and it feels delicious) you jerk off"
3,Friday,January,2020,18,45,Waverly,I think I am going to cum
8,Sunday,November,2020,7,37,Arizona,"So, what's all that goodness, baby? My big wet dick is so hard right now and my huge cum isn't even in your mouth"
13,Monday,April,2020,11,15,Bette Porter,<Media omitted>
31,Tuesday,December,2019,10,37,Bette Porter,"It's hard, but it's a good thing that I have a big cock and am able to cum so easily"
8,Tuesday,January,2019,4,51,Carol,"You think I would be so nervous if I was your wife when you say that, but I am"
23,Friday,July,2021,13,23,Bette Porter,<Media omitted>
13,Friday,September,2019,1,44,Bette Porter,No
26,Saturday,January,2019,16,55,Bette Porter,"Fuck, it's too bad I can't"
19,Tuesday,March,2019,5,48,Arizona,"Would you let me come see you tomorrow evening? Please, can't I wait till that's over after lunch?""

""I'm sorry and a little late"
7,Saturday,August,2021,4,53,Waverly,But it was the right thing to do
5,Sunday,January,2020,13,25,Therese,"Now I'll let you go to a private beach in the northern corner of the island, right?""

A woman from the group laughed and gave an apologetic smile"
20,Saturday,November,2021,13,7,Carol,"""Well then, now that you've decided to do this, just do it"
1,Wednesday,January,2020,23,10,Waverly,"It will satisfy the two of you for the rest of your life, so if you wish, you can go back to Gungar Island right now"
6,Wednesday,February,2019,15,9,Carol,"""

""I'll go"
30,Tuesday,July,2019,15,47,Arizona,<Media omitted>
12,Saturday,December,2020,11,36,Waverly,<Media omitted>
29,Friday,May,2020,19,48,Therese,<Media omitted>
20,Sunday,January,2019,2,56,Carol,"In the early days of the operation, the number of active B-class frigates slowly became depleted"
31,Sunday,March,2019,19,7,Carol,<Media omitted>
22,Monday,April,2019,20,5,Arizona,<Media omitted>
27,Wednesday,March,2019,16,55,Therese,"Just start by walking the length of beach and then start walking along the pier, then proceed up beach and then up pier, up beach"
16,Wednesday,June,2021,12,23,Waverly,"What do you do on Sundays? Because what would happen if you did something wrong in your life and you got kicked out? Why would I want to take those days off?

This is a great question for anyone dealing with this crisis"
19,Saturday,September,2020,11,55,Waverly,<Media omitted>
27,Tuesday,July,2021,21,37,Bette Porter,This really puts them in a difficult situation where someone has left their home or has returned somewhere for their wedding
15,Saturday,June,2019,13,53,Waverly,<Media omitted>
22,Wednesday,January,2020,5,51,Arizona,"Take a look at the following images:

1) What Can You Do On Mondays?

This was the question I had while I was on the phone waiting for a call"
22,Friday,October,2021,22,50,Carol,<Media omitted>
8,Thursday,July,2021,22,36,Bette Porter,I simply can't say no or wait
24,Wednesday,July,2019,4,31,Waverly,I only have two options for that
22,Friday,October,2021,14,9,Therese,"One is to take some time on Mondays and have some meetings, or I can choose to move forward with work"
18,Saturday,July,2020,9,38,Bette Porter,"I'm in a very hard situation in my life right now, and I can't imagine being the same person I am now, but I will try what I can"
22,Saturday,August,2020,23,5,Carol,There are so many ways to put it
23,Wednesday,October,2019,13,0,Carol,"First, I want everyone to look more at a time period and see why you need to do it"
30,Thursday,July,2020,8,4,Arizona,<Media omitted>
25,Monday,January,2021,4,57,Therese,If you
28,Friday,June,2019,6,5,Carol,"What do you do on Sundays? Are you in the mood to play some Magic and hang out with some random people?

How do the people in your group think during the week? Do they ever talk about Magic other than when it's ""the rest of the week?"" Are there any games? Do they play a few of the same games regularly? Do they play in the same hotel? Do you always know how to ask random questions, or have you done this previously before?

Do you see your group any differently during the week? Do you notice that your group has been mostly quiet all week?! This is not because of the weather!

Do you see other Magic players as being less in touch with the game than the rest of the community, or are they more prone to have conversation than you do about Magic? Do you find others that share things with you but are less present in the group?

Do you play some Magic regularly at home? Are you going out to dinner every night and ask people about Magic more than you do about other people?

Do you have any other Magic-related issues that would help support everyone through the weeks to come? Have you been there already? Do you want someone to take a look? How do you make sure nothing goes wrong in the group? Thanks so much, guys! Howdy!

Have you made a big comment on the blog that is causing your community to get a little tense the first few"
28,Sunday,June,2020,1,46,Bette Porter,I’m going away for awhile
12,Monday,July,2021,23,48,Therese,<Media omitted>
4,Tuesday,June,2019,22,13,Waverly,West
28,Friday,June,2019,8,47,Waverly,Soon
5,Sunday,May,2019,22,23,Bette Porter,"And I thought, perhaps, you might like to come with me"
15,Thursday,April,2021,16,51,Carol,Would you? A look back
22,Friday,March,2019,7,26,Bette Porter,If I could bear you all right
31,Tuesday,August,2021,5,39,Arizona,"Would I? What else can I say? For this, I swear, I'm not going to be here too long, at least"
28,Thursday,October,2021,4,3,Waverly,<Media omitted>
7,Saturday,December,2019,9,12,Arizona,You are touching my nose
17,Saturday,April,2021,19,20,Therese,Your clothes
3,Monday,June,2019,11,24,Therese,Your hands as if they were my own hands
1,Friday,October,2021,11,43,Carol,"All I am saying is that you will not understand, and, if you will come with me, as you always have"
10,Tuesday,November,2020,22,57,Arizona,"This has been my life, my home"
21,Thursday,March,2019,18,29,Waverly,"You never heard me say it to myself, but when I say this to you, you say you will, because it is always your duty"
7,Friday,June,2019,6,9,Bette Porter,So the whole thing is that I am a person
6,Wednesday,October,2021,0,15,Waverly,"This is why I'm leaving you, and I'm going to stay here, to be with you"
25,Sunday,October,2020,6,16,Waverly,"There's no more time, little things"
17,Saturday,April,2021,9,16,Carol,And I swear no more
5,Thursday,November,2020,3,16,Waverly,I will be right back
3,Thursday,September,2020,0,25,Waverly,"But, don't you worry, you'll be okay, if you don't mind"
26,Tuesday,October,2021,22,51,Therese,We'll talk about this after
7,Sunday,July,2019,17,6,Arizona,"And of course it won't hurt, but it is one of the most amazing times in your life"
10,Wednesday,February,2021,0,3,Arizona,<Media omitted>
28,Tuesday,April,2020,22,5,Carol,"I'll do something good with you, so you"
30,Wednesday,December,2020,16,49,Therese,"Let me take you to lunch, it’s the least I can do"
30,Friday,August,2019,18,14,Waverly,"If you want to finish this now, I promise it's going to be better than before"
20,Thursday,February,2020,0,5,Carol,"And if you want to spend just a little bit more time, I'll give you a little something for breakfast later tonight"
25,Tuesday,June,2019,19,15,Therese,And just a little something for Christmas later on
12,Tuesday,March,2019,16,5,Bette Porter,There’s a good chance it might go better
7,Wednesday,October,2020,10,16,Arizona,Don't worry
26,Friday,June,2020,1,52,Arizona,"And we shall work on that, alright? It feels pretty good"
15,Monday,March,2021,1,24,Waverly,"I mean, we've been getting to know each other a little"
7,Sunday,February,2021,0,59,Bette Porter,"You know what? You've been able to talk and make jokes and take pictures and things like that now, haven't you? I mean, it's fun and cool and kinda weird and stuff"
14,Tuesday,May,2019,23,54,Therese,You're sort of a jerk around all those little girls
18,Wednesday,November,2020,19,38,Waverly,I can't help but laugh at you
5,Wednesday,February,2020,19,43,Therese,I'm sure my friend would understand if you're laughing now
20,Friday,August,2021,23,15,Bette Porter,Good
15,Saturday,August,2020,23,4,Carol,It might hurt
6,Monday,January,2020,22,32,Arizona,I'm trying to get home
14,Tuesday,September,2021,2,19,Carol,"I can't let you, but you've got me down already"
18,Saturday,April,2020,15,17,Bette Porter,I'm gonna get you a cup of coffee
1,Thursday,October,2020,10,30,Carol,Mmm
2,Thursday,May,2019,4,50,Bette Porter,This is sweet
22,Tuesday,December,2020,16,28,Waverly,<Media omitted>
16,Sunday,June,2019,3,33,Therese,"I hate it, but you don't have to have me in this room"
12,Sunday,December,2021,15,59,Arizona,I just want to make sure you're well
1,Wednesday,December,2021,17,57,Therese,<Media omitted>
23,Wednesday,June,2021,6,48,Therese,Don't use your mind
2,Friday,October,2020,9,1,Arizona,Think through what your mom has going on
16,Saturday,October,2021,7,13,Therese,The next few hours will
18,Sunday,August,2019,19,12,Therese,"What do you do on Sundays?

Yes, I read weekly, and then work out and play when I'm tired"
8,Sunday,December,2019,21,7,Bette Porter,"Some Saturdays, I'm not allowed to play; I play for a little while"
14,Monday,October,2019,10,37,Arizona,<Media omitted>
20,Thursday,February,2020,0,58,Carol,<Media omitted>
26,Sunday,April,2020,0,14,Arizona,I think about it in the best light: that's what is important
9,Friday,July,2021,9,45,Waverly,<Media omitted>
23,Sunday,August,2020,21,52,Carol,But there's certain games I want to play because I like watching the best action
5,Thursday,September,2019,11,3,Waverly,"How do things work that way?

One thing that's important about football is that you get to focus on winning games and that's where it comes in"
2,Tuesday,July,2019,5,34,Arizona,"But if you're really focused on what the team has done at any given time, you're not going to win a game"
4,Friday,January,2019,7,56,Bette Porter,It's not about where you've been in the first couple of weeks
30,Friday,July,2021,7,6,Therese,It's not about where your team was at the beginning of the season or where you were playing the year before
5,Thursday,August,2021,7,25,Therese,Your job is to just play better
26,Thursday,March,2020,7,29,Arizona,"Have you had many injuries in your career? What's that like?

Yes, I had two major injuries – one that broke my hip and two that hurt my pelvis"
21,Wednesday,April,2021,0,52,Arizona,One was a knee fracture
20,Saturday,November,2021,22,18,Waverly,I'm sorry for the fact that that
10,Thursday,December,2020,15,40,Arizona,"What do you do on Sundays? Do you do anything like what you did for an hour every day? Do you be anything but good to the world?' At age 30, when it comes to her son Alexa, she's gone from being such an effective child model to being a true hero — and yet this hasn't come without an emotional twist"
23,Saturday,May,2020,23,39,Waverly,"When Alexa, who grew up in the home of her family, bought their house in December 2012, the couple had no plans to move"
1,Thursday,July,2021,9,12,Waverly,She started to live in their home with her son but the house had been sold two months earlier
27,Thursday,August,2020,17,40,Arizona,<Media omitted>
28,Sunday,March,2021,5,16,Arizona,For two months they waited
20,Saturday,November,2021,14,5,Therese,Each time Alexa saw the kids her son would be home alone and that was as far as all things were concerned
15,Tuesday,October,2019,15,54,Waverly,On and on
26,Sunday,April,2020,13,10,Waverly,At about 1am she stopped walking down the street and Alexa told her she needed to stay home and had to stay in the house
27,Wednesday,January,2021,3,37,Therese,"So when Alexa left it was to find a place to sleep her son and spend the rest of the day doing what was, she would do"
6,Friday,December,2019,15,1,Arizona,"""I didn't really have the time that I needed to just go to sleep and think 'we can get something out of this"
31,Thursday,January,2019,11,29,Therese,"I will find a place somewhere like this where I can sleep,'"" she says"
6,Tuesday,July,2021,20,16,Carol,"""I've never really"
26,Tuesday,November,2019,10,34,Arizona,"You’re welcome to [come], at least there’s some pretty country around where I live"
3,Thursday,September,2020,6,46,Carol,"Come on, can you move over to [stay]?"" he asks him, before giving off a cheerful smile"
22,Thursday,April,2021,15,5,Bette Porter,<Media omitted>
29,Friday,October,2021,0,47,Arizona,"He says that as he's walking, his head comes off the ground"
4,Saturday,April,2020,22,32,Bette Porter,"""Okay, I gotta go ahead"
29,Thursday,July,2021,5,43,Bette Porter,Please don't mind
17,Friday,April,2020,12,53,Bette Porter,I'm tired though
25,Saturday,April,2020,4,52,Waverly,"""

Him: Welcome to [come], at least there’s some pretty country around where I live"
30,Wednesday,September,2020,9,11,Therese,"Come on, can you move over to [stay]? Good luck if you don't mind"
20,Friday,March,2020,10,20,Therese,<Media omitted>
4,Monday,January,2021,18,56,Bette Porter,You and your friends are finally joining up and being good friends
13,Thursday,May,2021,22,14,Bette Porter,"If I could be your whole team by now…

You guys are gonna be cheering on me for awhile now"
9,Wednesday,October,2019,3,34,Therese,"The next two episodes of [WTF], Episode 10, were aired on the same day as the last one"
14,Tuesday,May,2019,17,56,Arizona,"It was almost as if things hadn't actually begun to happen for you yet, but still they were fun for each other"
13,Thursday,August,2020,23,24,Carol,"If you want any ideas about these shows, see this post on Reddit for more stories from the writers of the shows including those of your favorite characters and scenes from them"
30,Saturday,May,2020,2,59,Arizona,<Media omitted>
6,Monday,May,2019,5,28,Arizona,<Media omitted>
21,Tuesday,May,2019,19,30,Waverly,"–

Advertisements"
15,Friday,October,2021,0,12,Bette Porter,"You’re welcome to [come], at least there’s some pretty country around where I live"
14,Thursday,January,2021,3,28,Therese,"If this sounds daunting, look beyond where the word is and look deeper"
17,Tuesday,December,2019,16,50,Carol,"[come] the idea of [a place] where people are able to meet, sit down, have a nice meal and have a wonderful time"
4,Monday,November,2019,1,26,Arizona,<Media omitted>
9,Tuesday,April,2019,4,24,Waverly,It is easy enough to get on board with such the understanding that there is no longer any need to resort to all those elaborate rituals
21,Sunday,November,2021,23,40,Bette Porter,<Media omitted>
28,Saturday,November,2020,21,6,Waverly,"But it isn't a requirement for the Western one, as there is clearly no need for either of those two cultures"
2,Tuesday,March,2021,3,13,Therese,<Media omitted>
6,Monday,December,2021,14,57,Arizona,Western and Asian cultures don't even share a single single characteristic
9,Monday,December,2019,18,28,Bette Porter,They are separate cultures with the common goal of conquering each other
8,Thursday,August,2019,20,30,Bette Porter,"The West and Asians, on the other hand, share some common characteristics which is crucial in each culture of the one that will establish domination over its neighbors"
3,Friday,April,2020,4,13,Bette Porter,<Media omitted>
13,Friday,December,2019,6,58,Therese,"The first step will be figuring out how to unite the tribes, build alliances, build up their territories, then form a strong military and security apparatus"
12,Saturday,September,2020,4,33,Bette Porter,"Would you like to come visit me this Sunday? That's how great I was at cooking, and you're just one or two hours away, too"
8,Wednesday,May,2019,0,38,Waverly,Thanks
20,Friday,December,2019,18,22,Waverly,<Media omitted>
12,Wednesday,June,2019,15,27,Carol,Wherever my car will take me
23,Sunday,May,2021,6,0,Arizona,West
25,Sunday,July,2021,3,57,Arizona,Soon
3,Tuesday,March,2020,0,8,Carol,"And I thought, perhaps, you might like to come with me"
20,Friday,August,2021,4,31,Carol,<Media omitted>
24,Wednesday,March,2021,5,29,Arizona,<Media omitted>
30,Tuesday,April,2019,21,24,Therese,<Media omitted>
1,Tuesday,January,2019,23,16,Waverly,"It doesn't matter how long I stay here, or it's going to take me longer than it feels like"
9,Saturday,February,2019,22,57,Carol,"We could be all that great again, and nothing will be done—there are many ways you could be gone, but I'm willing to give it my all, and I'm willing to put this little city above them"
11,Friday,January,2019,21,41,Arizona,(Sighs for a moment longer…) I am
4,Tuesday,June,2019,13,17,Waverly,We're too far away on that side of the wall to know if you care how long you stay here
12,Thursday,November,2020,4,7,Therese,"What happens when I return, I know"
4,Sunday,July,2021,2,5,Arizona,"We'll all be here, and it will feel so good to stay here"
6,Sunday,June,2021,17,30,Bette Porter,And I'm happy about it
2,Wednesday,October,2019,8,54,Bette Porter,"It will make me happy, as soon as I get home"
2,Monday,September,2019,3,46,Waverly,(Sighs) You have to talk about it
13,Sunday,January,2019,21,58,Waverly,<Media omitted>
4,Friday,December,2020,7,31,Arizona,(Smiles and gives her hand a kiss) It sure seems like it's never going to happen
15,Tuesday,June,2021,13,51,Carol,<Media omitted>
22,Saturday,June,2019,14,9,Carol,"Would you like to come visit me this Sunday?

""Yes, I'd like to"
20,Wednesday,May,2020,6,20,Waverly,I don't need any more of your kind
7,Tuesday,May,2019,8,15,Carol,"""


The guy doesn't appear at least twice in the photo"
13,Friday,August,2021,22,28,Therese,[H/T To The Huffington Post]
7,Sunday,July,2019,5,28,Carol,"You’re welcome to [come], at least there’s some pretty country around where I live"
23,Sunday,June,2019,11,33,Waverly,"※ It's not too difficult to do that if you are a student, if you feel like you should work at a major and you do not want to worry about that, just let me know"
11,Thursday,March,2021,4,11,Waverly,I'll just ask you if this is for you and you will be able to tell me
23,Saturday,January,2021,3,10,Therese,Okay
2,Wednesday,October,2019,1,15,Bette Porter,Thank you
21,Friday,February,2020,12,4,Waverly,<Media omitted>
11,Monday,March,2019,22,17,Therese,"I won't tell you if I have any friends at all, however, just do this"
24,Sunday,February,2019,17,19,Waverly,I'll stay as if I have no friends
8,Tuesday,December,2020,23,38,Arizona,"My first words to you are:

※ No, we are not making this up, just that I have no way to help you now or do anything about it"
1,Tuesday,June,2021,19,42,Arizona,Just make sure you understand
30,Friday,July,2021,6,2,Bette Porter,"※ Once it has all come together, you can go back to your dorm room and check on all of your belongings"
4,Friday,December,2020,21,25,Therese,<Media omitted>
30,Wednesday,June,2021,0,14,Waverly,I can't help you if you want
12,Friday,July,2019,2,59,Carol,"※ You really do have friends in your dorm, did you not? I have never been in my dorm room ever, so I haven't really gotten any idea how you feel about it"
28,Monday,October,2019,8,19,Bette Porter,<Media omitted>
19,Tuesday,March,2019,8,31,Therese,Maybe you’d like to come visit me sometime
15,Wednesday,September,2021,21,56,Carol,I will gladly show you some of my new toy
26,Friday,March,2021,2,1,Carol,I can be a few steps away and I will also share some of my new toy with you
28,Sunday,July,2019,15,1,Carol,It might be a bit too tight without it
5,Friday,July,2019,17,39,Arizona,"I hope you like it, and have fun out there"
6,Monday,September,2021,15,33,Carol,Invite me ’round
26,Wednesday,June,2019,3,51,Waverly,’where
24,Thursday,December,2020,19,28,Waverly,’to
11,Wednesday,March,2020,6,15,Arizona,’with
26,Monday,October,2020,4,32,Carol,<Media omitted>
14,Saturday,December,2019,16,10,Carol,’where I shall
24,Wednesday,April,2019,6,32,Therese,"’truly know and believe in the righteousness of Jesus Christ ’whose glory in the gospel of my name was extended, ’made full manifest by the power of truth and power of God ’that in the name of his Father was given unto Abraham the son of Noah ’but the Father was also filled with grace through the glory of the Son"
8,Tuesday,December,2020,17,1,Bette Porter,’And even by the power of the Holy Spirit it was demonstrated that even the Father is worthy of righteousness’through the Holy Spirit the glory of the Son was shown
14,Monday,September,2020,10,1,Carol,"And those who follow Him, that he may glorify his name, become sons of Jesus Christ, even though they can bear no sons"
31,Tuesday,December,2019,11,1,Bette Porter,"’It is His Father and Holy Spirit who are of the glory the Father has given to the glory of His glorious works, and who have a right to give glory to the Father"
9,Saturday,March,2019,14,8,Carol,"’And so if they do not, the glory of the Father is not of the Father but of the Son’that is why it is given to the glory of His name through His glory"
9,Tuesday,November,2021,3,17,Waverly,’And now in obedience to this law
17,Tuesday,November,2020,2,44,Carol,"’Now, the truth is as long as thou hast given to the people, that the faithfulness with which these people received the Lord Jesus Christ from the devil, but the truth was to God until eternity’"
6,Wednesday,January,2021,9,5,Carol,Invite me ’round
5,Tuesday,November,2019,4,2,Waverly,"com/tuesday_event_2016_6_28/ ‖

""I'm a former professional wrestler who has a professional wrestling tournament at the end of the year because of a few weeks last week"
13,Friday,November,2020,13,22,Therese,The thing is I like being in a ring all the time
29,Sunday,September,2019,20,41,Carol,"""

While there will be another ring at the end of the month, this time there will be a single event going down next Thursday at the New London, UK hotel"
12,Thursday,March,2020,13,45,Bette Porter,It's a little over a week before the end of WWE's regular schedule before fans begin heading to events in Las Vegas and Nashville
27,Thursday,August,2020,0,39,Bette Porter,"It will be there for the first time this month, and with an increased fan base from the event's opening two weeks, there might even be some more people on hand to provide assistance in some of those venues"
30,Tuesday,November,2021,19,1,Arizona,"In the meanwhile, while wrestling fans will have plenty to enjoy, there are a number of things to consider before considering going back to the old WOLL"
12,Sunday,April,2020,18,1,Bette Porter,<Media omitted>
12,Monday,October,2020,4,27,Bette Porter,<Media omitted>
15,Thursday,April,2021,14,25,Arizona,For all of you interested in seeing what WWE announced to be a weekly event that will take place
23,Monday,September,2019,6,40,Therese,"Would you like to come visit me this Sunday?

I'm coming with you to this great place"
4,Monday,May,2020,3,4,Waverly,"Thanks, everybody!

–

Photo Credits:"
11,Saturday,April,2020,21,24,Arizona,Would you let me come see you tomorrow evening? Please? You said you'd meet with a couple of friends
26,Tuesday,January,2021,21,44,Arizona,Then you started driving me up to your house and that you were going to meet some people
31,Tuesday,March,2020,5,55,Therese,They wanted a picture
21,Tuesday,July,2020,10,17,Carol,They just drove up there
26,Tuesday,October,2021,23,51,Arizona,"I got their phone calls and I got their email and they said, ""No, you're going to have to keep your car"
22,Friday,May,2020,7,28,Arizona,Call me right now
21,Thursday,November,2019,20,52,Bette Porter,<Media omitted>
16,Monday,March,2020,18,50,Arizona,""" So I said, ""Ok, fine"
6,Sunday,September,2020,8,6,Arizona,<Media omitted>
15,Saturday,August,2020,22,6,Carol,My car will go
31,Tuesday,August,2021,0,57,Waverly,""" I went off the phone and said and said, ""Go ahead and call the police"
23,Saturday,March,2019,2,13,Therese,And you know what? You'll get a ticket
1,Thursday,July,2021,1,23,Therese,I don't want them driving me
17,Saturday,August,2019,0,14,Bette Porter,They'll try to run me out of the house
9,Sunday,February,2020,11,35,Arizona,""" I said, ""OK"
12,Monday,July,2021,6,50,Arizona,No
30,Thursday,January,2020,14,27,Arizona,I'm gonna go to their next room
26,Friday,November,2021,12,55,Therese,<Media omitted>
27,Saturday,November,2021,4,17,Arizona,Got them going if it helps
9,Tuesday,March,2021,20,29,Waverly,"Get out of my car, if it lets them"
26,Wednesday,June,2019,0,7,Carol,"Or you're crazy so I'll leave them alone with me and then they're like, ""You won't believe what happened to you"
8,Tuesday,December,2020,16,9,Bette Porter,""" I didn't mean to shock you, I mean it took care of everything for you all day"
24,Sunday,October,2021,21,17,Bette Porter,""" I drove around my apartment thinking, ""What are we gonna do?"" I heard my roommate's number say I was not going to come over and talk to her, but I just started sitting"
